device,accuracy,val_accuracy,loss,val_loss,day,execute_time_seconds,evaluate_time_seconds,is_model_changed,evaluate_accuracy
0,0.78842103,0.85714287,0.5273590261057803,0.3118080243468284,0,527.1327209472656,106.52102422714232,0.0,0.848739504814148
1,0.7936842,0.81092435,0.495575819454695,0.3825530499219894,0,532.8023216724396,112.48863697052002,1.0,0.8403361439704895
2,0.72,0.85294116,0.6315099666620556,0.3386531750361125,0,524.3046774864197,111.2240719795227,0.0,0.8445377945899963
3,0.79052633,0.78571427,0.5277528600943716,0.4587280402580897,0,532.0610177516937,108.93077492713928,0.0,0.7857142686843872
4,0.7831579,0.79831934,0.485237936220671,0.4654640247424443,0,532.4857580661774,111.65937232971191,1.0,0.8151260614395142
0,0.7884210348,0.8571428657,0.5273590261,0.3118080243,1,541.1173467636108,107.1868863105774,1.0,0.8907563090324402
1,0.890526294708252,0.8781512379646301,0.2650150420163807,0.3266535629828771,1,521.4252216815948,104.85435724258424,1.0,0.8865545988082886
2,0.8810526132583618,0.8991596698760986,0.2898153716953177,0.251724860817194,1,533.9229452610016,116.53454422950745,0.0,0.8823529481887817
3,0.8873684406280518,0.848739504814148,0.2529503104325972,0.3395767748355865,1,530.4494116306305,109.52136659622192,0.0,0.8361344337463379
4,0.8621052503585815,0.8823529481887817,0.3018117439119439,0.2465987165768941,1,522.7752094268799,108.64146089553832,0.0,0.8571428656578064
0,0.9042105078697203,0.8739495873451233,0.2311185792245363,0.293656387925148,2,523.2397022247314,109.35710859298706,1.0,0.8907563090324402
1,0.8905262947,0.878151238,0.265015042,0.326653563,2,520.8279089927673,110.14450192451476,1.0,0.9075630307197572
2,0.8810526133,0.8991596699,0.2898153717,0.2517248608,2,529.1364033222198,107.48450446128844,1.0,0.9033613204956056
3,0.9094736576080322,0.8571428656578064,0.2199022259994557,0.3306568637490272,2,528.4797592163086,108.44504189491272,0.0,0.8529411554336548
4,0.8621052504,0.8823529482,0.3018117439,0.2465987166,2,524.4041368961334,110.39381647109984,0.0,0.8781512379646301
0,0.9042105078697203,0.8991596698760986,0.2347503203075183,0.245375237862269,3,456.32953214645386,100.2618556022644,0.0,0.8991596698760986
1,0.9031578898,0.8949579597,0.2160385435,0.2529058536,3,453.7199454307556,94.65310478210448,1.0,0.9201680421829224
2,0.9042105079,0.9075630307,0.2499292657,0.200525863,3,447.6601634025574,94.86290097236632,1.0,0.9075630307197572
3,0.8999999762,0.8823529482,0.2556198952,0.2801912824,3,458.5121314525604,96.17594623565674,0.0,0.8613445162773132
4,0.8621052504,0.8823529482,0.3018117439,0.2465987166,3,451.72205090522766,97.26867294311523,1.0,0.894957959651947
0,0.9042105079,0.8991596699,0.2347503203,0.2453752379,4,458.8329491615296,102.05699920654295,1.0,0.9075630307197572
1,0.9031578898,0.8949579597,0.2160385435,0.2529058536,4,449.0901169776917,95.34019494056702,1.0,0.924369752407074
2,0.9042105079,0.9075630307,0.2499292657,0.200525863,4,446.016667842865,95.11260151863098,1.0,0.911764681339264
3,0.921052634716034,0.8991596698760986,0.1807980871671124,0.2496882869551579,4,460.89102363586426,95.85192584991456,0.0,0.8655462265014648
4,0.8621052504,0.8823529482,0.3018117439,0.2465987166,4,448.76950240135193,96.39938521385191,1.0,0.8991596698760986
0,0.9378947615623474,0.9033613204956056,0.1736262081445832,0.1974108542005221,5,451.9471216201782,101.41109800338744,0.0,0.9033613204956056
1,0.9031578898,0.8949579597,0.2160385435,0.2529058536,5,446.75600504875183,93.55783486366272,1.0,0.924369752407074
2,0.9042105079,0.9075630307,0.2499292657,0.200525863,5,443.6111128330231,95.20046806335448,1.0,0.911764681339264
3,0.9210526347,0.8991596699,0.1807980872,0.249688287,5,451.486554145813,94.9123990535736,0.0,0.8739495873451233
4,0.8621052504,0.8823529482,0.3018117439,0.2465987166,5,441.87862038612366,97.42582511901855,1.0,0.9033613204956056
0,0.9378947616,0.9033613205,0.1736262081,0.1974108542,6,453.5146548748016,95.8899552822113,1.0,0.9201680421829224
1,0.9031578898,0.8949579597,0.2160385435,0.2529058536,6,445.2263517379761,100.93044328689577,1.0,0.924369752407074
2,0.9042105079,0.9075630307,0.2499292657,0.200525863,6,443.5295422077179,96.14245820045473,1.0,0.911764681339264
3,0.9210526347,0.8991596699,0.1807980872,0.249688287,6,452.1574883460999,96.3999376296997,0.0,0.894957959651947
